"Carimbo de data/hora","Qual é a sua idade?","Qual o seu gênero?","Qual a sua escolaridade?","Durante o tempo em que cursou o ensino fundamental, sua escola oferecia aulas de educação artística?","Você gostava das aulas de educação artística no ensino fundamental?","Durante o tempo em que cursou o ensino médio, sua escola oferecia aulas de educação artística?","Você gostava das aulas de educação artística no ensino médio?","De modo geral, que importância a arte tem na sua vida? O que ela representa para você?","Você acha que a educação artística é importante na formação de um indivíduo?","Supondo que o acesso à tecnologia fosse democratizado, você acha que os futuros alunos se beneficiariam da integração da tecnologia no modelo convencional de educação?","Você acha que trazer tecnologia para aulas de educação artística fariam os alunos se interessarem mais nos assuntos abordados?","Agradecemos pela sua contribuição! Caso tenha alguma crítica, observação, reclamação, ou qualquer coisa que deseja nos dizer, sinta-se a vontade para nos escrever."
"2021/04/27 10:58:31 PM GMT-3","40 a 49.","Feminino.","Superior completo.","Sim.","Não.","Sim.","Não.","Um canal através do qual posso conhecer a forma que outras pessoas enxergam o mundo.;Uma ferramenta política de denúncia ou protesto.;Introspecção e autoconhecimento.","Sim, essencialmente importante.","Sim.","Sim.","Muito bem elaborada! Parabéns"
"2021/04/28 11:00:59 PM GMT-3","22 a 29.","Masculino.","Superior incompleto.","Não.","Não tive aulas dessa matéria.","Não.","Não tive aulas dessa matéria.","Um canal através do qual posso conhecer a forma que outras pessoas enxergam o mundo.;Uma ferramenta política de denúncia ou protesto.;Introspecção e autoconhecimento.","Um pouco importante.","Sim.","Sim.",""
"2021/04/28 11:03:15 PM GMT-3","22 a 29.","Feminino.","Superior completo.","Sim.","Sim.","Sim.","Sim.","Um canal através do qual posso conhecer a forma que outras pessoas enxergam o mundo.","Sim, essencialmente importante.","Sim.","Sim.","Uma ótima abordagem a de vcs! Ótima iniciativa, continuem a levar cultura e tecnologia para agregar conhecimento, imaginação, e sonhos as pessoas! "
"2021/04/28 11:04:07 PM GMT-3","18 a 21.","Masculino.","Médio completo.","Sim.","Não.","Sim.","Não.","Uma forma de me distrair e aliviar da rotina cotidiana.","Um pouco importante.","Sim.","Sim.",""
"2021/04/28 11:04:10 PM GMT-3","18 a 21.","Prefiro não dizer.","Superior incompleto.","Sim.","Sim.","Sim.","Sim.","Uma forma de me distrair e aliviar da rotina cotidiana.;Um canal através do qual posso conhecer a forma que outras pessoas enxergam o mundo.;Uma ferramenta política de denúncia ou protesto.","Sim, essencialmente importante.","Sim.","Sim.",""
"2021/04/28 11:04:15 PM GMT-3","22 a 29.","Masculino.","Superior incompleto.","Sim.","Sim.","Não.","Não tive aulas dessa matéria.","Um canal através do qual posso conhecer a forma que outras pessoas enxergam o mundo.;Uma ferramenta política de denúncia ou protesto.;Introspecção e autoconhecimento.","Sim, essencialmente importante.","Sim.","Sim.",""
"2021/04/28 11:06:27 PM GMT-3","30 a 39.","Feminino.","Superior incompleto.","Sim.","Sim.","Sim.","Sim.","Uma forma de me distrair e aliviar da rotina cotidiana.","Sim, essencialmente importante.","Sim.","Sim.",""
"2021/04/28 11:07:26 PM GMT-3","18 a 21.","Masculino.","Superior incompleto.","Sim.","Sim.","Sim.","Não.","Um canal através do qual posso conhecer a forma que outras pessoas enxergam o mundo.;Introspecção e autoconhecimento.","Um pouco importante.","Sim.","Sim.",""
"2021/04/28 11:08:12 PM GMT-3","30 a 39.","Masculino.","Superior completo.","Sim.","Não.","Sim.","Sim.","Uma forma de me distrair e aliviar da rotina cotidiana.;Um canal através do qual posso conhecer a forma que outras pessoas enxergam o mundo.;Uma ferramenta política de denúncia ou protesto.;Introspecção e autoconhecimento.","Sim, essencialmente importante.","Sim.","Sim.",""
"2021/04/28 11:15:39 PM GMT-3","18 a 21.","Masculino.","Médio completo.","Sim.","Não.","Sim.","Não.","Não me interesso por arte.","Um pouco importante.","Sim.","Sim.",""
